source_file,source_url,raw_href,resolved_url,is_internal,anchor_text,rel,target,target_initial_status,target_final_status,target_final_url,redirect_count,local_target_exists
404.html,https://www.ezhalhe-sa.com/404.html,index.html,https://www.ezhalhe-sa.com/index.html,True,🛒 ازهلها . متاجر إلكترونية احترافية,,,308,200,https://www.ezhalhe-sa.com/,1,True
404.html,https://www.ezhalhe-sa.com/404.html,index.html,https://www.ezhalhe-sa.com/index.html,True,الرئيسية,,,308,200,https://www.ezhalhe-sa.com/,1,True
404.html,https://www.ezhalhe-sa.com/404.html,salla-store-design.html,https://www.ezhalhe-sa.com/salla-store-design.html,True,متجر سلة,,,200,200,https://www.ezhalhe-sa.com/salla-store-design.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,zid-store-design.html,https://www.ezhalhe-sa.com/zid-store-design.html,True,متجر زد,,,200,200,https://www.ezhalhe-sa.com/zid-store-design.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,articles.html,https://www.ezhalhe-sa.com/articles.html,True,المقالات,,,200,200,https://www.ezhalhe-sa.com/articles.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,discount-salla-plus.html,https://www.ezhalhe-sa.com/discount-salla-plus.html,True,كوبون سلة,,,200,200,https://www.ezhalhe-sa.com/discount-salla-plus.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,https://wa.me/966501940155,https://wa.me/966501940155,False,ابدأ الآن,,_blank,,,,,
404.html,https://www.ezhalhe-sa.com/404.html,index.html,https://www.ezhalhe-sa.com/index.html,True,العودة للرئيسية,,,308,200,https://www.ezhalhe-sa.com/,1,True
404.html,https://www.ezhalhe-sa.com/404.html,https://wa.me/966501940155,https://wa.me/966501940155,False,تواصل معنا,,_blank,,,,,
404.html,https://www.ezhalhe-sa.com/404.html,salla-store-design.html,https://www.ezhalhe-sa.com/salla-store-design.html,True,🛒 تصميم متجر سلة,,,200,200,https://www.ezhalhe-sa.com/salla-store-design.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,zid-store-design.html,https://www.ezhalhe-sa.com/zid-store-design.html,True,⚡ تصميم متجر زد,,,200,200,https://www.ezhalhe-sa.com/zid-store-design.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,discount-salla-plus.html,https://www.ezhalhe-sa.com/discount-salla-plus.html,True,🏷️ كود خصم سلة بلس,,,200,200,https://www.ezhalhe-sa.com/discount-salla-plus.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,discount-salla-pro.html,https://www.ezhalhe-sa.com/discount-salla-pro.html,True,👑 كود خصم سلة برو,,,200,200,https://www.ezhalhe-sa.com/discount-salla-pro.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,articles.html,https://www.ezhalhe-sa.com/articles.html,True,📚 المقالات,,,200,200,https://www.ezhalhe-sa.com/articles.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,store-verification.html,https://www.ezhalhe-sa.com/store-verification.html,True,✅ توثيق المتجر,,,200,200,https://www.ezhalhe-sa.com/store-verification.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,salla-store-design.html,https://www.ezhalhe-sa.com/salla-store-design.html,True,تصميم متجر سلة,,,200,200,https://www.ezhalhe-sa.com/salla-store-design.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,zid-store-design.html,https://www.ezhalhe-sa.com/zid-store-design.html,True,تصميم متجر زد,,,200,200,https://www.ezhalhe-sa.com/zid-store-design.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,store-verification.html,https://www.ezhalhe-sa.com/store-verification.html,True,توثيق المتجر,,,200,200,https://www.ezhalhe-sa.com/store-verification.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,secure-payments.html,https://www.ezhalhe-sa.com/secure-payments.html,True,تفعيل الدفع,,,200,200,https://www.ezhalhe-sa.com/secure-payments.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,discount-salla-plus.html,https://www.ezhalhe-sa.com/discount-salla-plus.html,True,🏷️ كود خصم بلس,,,200,200,https://www.ezhalhe-sa.com/discount-salla-plus.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,discount-salla-pro.html,https://www.ezhalhe-sa.com/discount-salla-pro.html,True,👑 كود خصم برو,,,200,200,https://www.ezhalhe-sa.com/discount-salla-pro.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,articles.html,https://www.ezhalhe-sa.com/articles.html,True,المقالات,,,200,200,https://www.ezhalhe-sa.com/articles.html,0,True
404.html,https://www.ezhalhe-sa.com/404.html,https://wa.me/966501940155,https://wa.me/966501940155,False,📱 واتساب,,_blank,,,,,
404.html,https://www.ezhalhe-sa.com/404.html,mailto:mr.leith9999@gmail.com,,False,✉ البريد الإلكتروني,,,,,,,
404.html,https://www.ezhalhe-sa.com/404.html,index.html,https://www.ezhalhe-sa.com/index.html,True,🏠 الرئيسية,,,308,200,https://www.ezhalhe-sa.com/,1,True
404.html,https://www.ezhalhe-sa.com/404.html,https://wa.me/966501940155,https://wa.me/966501940155,False,,,_blank,,,,,
articles/أخطاء-شائعة-في-تصميم-المتاجر-الإلكترونية-وكيفية-تجنبها.html,https://www.ezhalhe-sa.com/articles/%D8%A3%D8%AE%D8%B7%D8%A7%D8%A1-%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9-%D9%81%D9%8A-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AC%D8%B1-%D8%A7%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D9%83%D9%8A%D9%81%D9%8A%D8%A9-%D8%AA%D8%AC%D9%86%D8%A8%D9%87%D8%A7.html,../index.html,https://www.ezhalhe-sa.com/index.html,True,,,,308,200,https://www.ezhalhe-sa.com/,1,True
articles/أخطاء-شائعة-في-تصميم-المتاجر-الإلكترونية-وكيفية-تجنبها.html,https://www.ezhalhe-sa.com/articles/%D8%A3%D8%AE%D8%B7%D8%A7%D8%A1-%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9-%D9%81%D9%8A-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AC%D8%B1-%D8%A7%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D9%83%D9%8A%D9%81%D9%8A%D8%A9-%D8%AA%D8%AC%D9%86%D8%A8%D9%87%D8%A7.html,../index.html,https://www.ezhalhe-sa.com/index.html,True,الرئيسية,,,308,200,https://www.ezhalhe-sa.com/,1,True
articles/أخطاء-شائعة-في-تصميم-المتاجر-الإلكترونية-وكيفية-تجنبها.html,https://www.ezhalhe-sa.com/articles/%D8%A3%D8%AE%D8%B7%D8%A7%D8%A1-%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9-%D9%81%D9%8A-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AC%D8%B1-%D8%A7%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D9%83%D9%8A%D9%81%D9%8A%D8%A9-%D8%AA%D8%AC%D9%86%D8%A8%D9%87%D8%A7.html,../articles.html,https://www.ezhalhe-sa.com/articles.html,True,المقالات,,,200,200,https://www.ezhalhe-sa.com/articles.html,0,True
articles/أخطاء-شائعة-في-تصميم-المتاجر-الإلكترونية-وكيفية-تجنبها.html,https://www.ezhalhe-sa.com/articles/%D8%A3%D8%AE%D8%B7%D8%A7%D8%A1-%D8%B4%D8%A7%D8%A6%D8%B9%D8%A9-%D9%81%D9%8A-%D8%AA%D8%B5%D9%85%D9%8A%D9%85-%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AC%D8%B1-%D8%A7%D9%84%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D9%88%D9%83%D9%8A%D9%81%D9%8A%D8%A9-%D8%AA%D8%AC%D9%86%D8%A8%D9%87%D8%A7.html,https://wa.me/966501940155,https://wa.me/966501940155,False,تواصل مع مختص تجارة إلكترونية,,_blank,,,,,
