status,path,category,production_artifact
M,.vercelignore,project configuration,yes
M,404.html,site/deployment artifact,yes
M,articles.html,site/deployment artifact,yes
M,articles/أخطاء-شائعة-في-تصميم-المتاجر-الإلكترونية-وكيفية-تجنبها.html,site/deployment artifact,yes
M,articles/أدوات-وتقنيات-تسهل-عليك-إدارة-متجرك-الإلكتروني-اليومية.html,site/deployment artifact,yes
M,articles/أسرار-تصميم-صفحات-المنتجات-الجذابة-على-منصة-سلة.html,site/deployment artifact,yes
M,articles/أهمية-التخطيط-للمحتوى-في-إدارة-المتجر-وحسابات-السوشيال-ميديا.html,site/deployment artifact,yes
M,articles/أهمية-التصميم-الاحترافي-لمتجرك-على-سلة-زيادة-المبيعات-والثقة.html,site/deployment artifact,yes
M,articles/أهمية-تتبع-التحويلات-في-الحملات-الإعلانية-قياس-العائد-على-الاستثمار-roi.html,site/deployment artifact,yes
M,articles/أهمية-تفعيل-بوابات-دفع-متعددة-لمتجرك-الإلكتروني.html,site/deployment artifact,yes
M,articles/أهمية-تفعيل-خدمات-الدفع-الآجل-تابي-وتمارا-لزيادة-مبيعات-متجرك.html,site/deployment artifact,yes
M,articles/أهمية-توثيق-متجرك-عبر-منصة-الأعمال-لضمان-الامتثال-القانوني.html,site/deployment artifact,yes
M,articles/أهمية-توثيق-متجرك-في-سلة-بناء-الثقة-والمصداقية.html,site/deployment artifact,yes
M,articles/أهمية-ربط-google-analytics-4-بمتجرك-الإلكتروني-لتحليل-الأداء.html,site/deployment artifact,yes
M,articles/أهمية-فتح-حساب-بنكي-تجاري-لمتجرك-الإلكتروني.html,site/deployment artifact,yes
M,articles/إدارة-التدفقات-النقدية-لمتجرك-عبر-الحساب-البنكي-التجاري.html,site/deployment artifact,yes
M,articles/إدارة-المخزون-والطلبات-في-متجرك-الإلكتروني-دليل-المبتدئين.html,site/deployment artifact,yes
M,articles/إدارة-خدمة-العملاء-عبر-التواصل-الاجتماعي-نصائح-لرضا-العميل.html,site/deployment artifact,yes
M,articles/إعداد-حملات-إعادة-الاستهداف-retargeting-باستخدام-البكسلات.html,site/deployment artifact,yes
M,articles/اختيار-الدومين-المناسب-لمتجرك-الإلكتروني-نصائح-واستراتيجيات.html,site/deployment artifact,yes
M,articles/استخدام-linktree-أو-بدائله-لتحسين-الروابط-في-حسابات-التواصل-الاجتماعي.html,site/deployment artifact,yes
M,articles/استخدام-واتساب-للأعمال-في-خدمة-العملاء-والتسويق-لمتجرك.html,site/deployment artifact,yes
M,articles/استراتيجيات-إدارة-حسابات-التواصل-الاجتماعي-لمتجرك-زيادة-التفاعل-والمبيعات.html,site/deployment artifact,yes
M,articles/استراتيجيات-استهداف-الجمهور-في-الحملات-الإعلانية-لزيادة-المبيعات.html,site/deployment artifact,yes
M,articles/الأخطاء-الشائعة-في-إعداد-الحملات-الإعلانية-وكيفية-تجنبها.html,site/deployment artifact,yes
M,articles/التحديات-الشائعة-في-إدارة-المتاجر-الإلكترونية-وحلولها.html,site/deployment artifact,yes
M,articles/التحديات-الشائعة-في-تفعيل-تابي-وتمارا-وكيفية-تجاوزها.html,site/deployment artifact,yes
M,articles/الخدمات-الأساسية-المتكاملة-لنجاح-متجرك-الإلكتروني-قائمة-مرجعية.html,site/deployment artifact,yes
M,articles/الخدمات-المصرفية-الرقمية-المتاحة-لأصحاب-المتاجر-في-الراجحي-والإنماء.html,site/deployment artifact,yes
M,articles/الخطوات-الأساسية-لربط-متجرك-الإلكتروني-بمنصة-الأعمال.html,site/deployment artifact,yes
M,articles/الخطوات-التفصيلية-لاستخراج-وثيقة-العمل-الحر-عبر-الإنترنت.html,site/deployment artifact,yes
